100,0.952341,0.9529070000000001,99.9405
200,1.81904,1.8221366666666665,99.8285
300,2.7570533333333334,2.7638266666666667,99.7493
400,4.628866666666667,4.641046666666667,99.70530000000001
500,3.7462633333333333,3.7654099999999997,99.42696666666666
600,5.4993300000000005,5.52693,99.39033333333333
700,7.979216666666666,8.016183333333332,99.51753333333333
800,7.003043333333333,7.052173333333333,99.18886666666667
900,9.013143333333334,9.092683333333333,99.04833333333333
1000,9.438193333333334,9.51563,99.15733333333333
1100,9.054113333333332,9.146383333333333,98.98233333333333
1200,10.761000000000001,10.871766666666668,98.97790000000002
1300,13.2654,13.395966666666666,99.01016666666668
1400,15.6496,15.801033333333335,99.03456666666666
1500,20.014266666666668,20.233333333333334,98.84856666666667
1600,20.6845,20.882433333333335,99.04276666666665
1700,23.576333333333334,23.8206,98.93430000000001
1800,26.001833333333334,26.2542,98.96923333333332
1900,29.955066666666667,30.230866666666667,99.0348
2000,31.510899999999996,32.716766666666665,95.52353333333333
