100,0.010890333333333333,0.011333999999999999,95.88153333333332
200,0.011446,0.014366333333333333,79.67136666666667
300,0.035747,0.042250333333333334,84.60763333333333
400,0.08226900000000001,0.09387133333333335,87.6401
500,0.15771400000000002,0.176092,89.56349999999999
600,0.2691513333333333,0.2958236666666667,90.98373333333332
700,0.5267270000000001,0.563453,93.08609999999999
800,0.6354996666666667,0.6839353333333333,92.91793333333334
900,0.9092656666666666,0.970757,93.66563333333333
1000,1.2880266666666669,1.36393,94.43506666666667
1100,1.7665933333333335,1.8579733333333335,95.08166666666666
1200,2.3505033333333336,2.4588666666666668,95.593
1300,3.052046666666667,3.1789733333333334,96.00733333333334
1400,3.8699366666666664,4.016896666666667,96.34146666666668
1500,4.803153333333333,4.97183,96.60736666666666
1600,5.845273333333334,6.037333333333334,96.81883333333333
1700,7.012456666666668,7.228583333333333,97.01013333333333
1800,9.52562,9.76787,97.45393333333334
1900,9.76257,10.0323,97.31113333333333
2000,11.373666666666667,11.672133333333333,97.44279999999999
